,ABC_DN,ACLY_UP,AROMATASE_INHIBITION,AR_AGONIST,AR_ANTAGONIST,CAR_ANTAGONIST,CELL_ARREST,CELL_PROLIF,CELL_PROLIF_UP,CELL_STRUCTURE,CONTROL,CYP_DN,CYP_UP,CYTOTOXICITY,DDIT3_UP,DNA_REPAIR,ERG1_UP,ER_ANTAGONIST,ESRA_ANTAGONIST,FASN_UP,FMO3_DN,FXR_ANTAGONIST,GLI_ANTAGONIST,GR_ANTAGONIST,GSTA2_DN,H2AFX_AGONIST,HMGCS2_DN,HSPA1A_DN,IGF_DN,MCR_ANTAGONIST,MITO,OXIDATIVE_STRESS,OXIDATIVE_STRESS_DN,PEG_DN,PPAR_ANTAGONIST,PR_ANTAGONIST,PXR_AGONIST,RAR_ANTAGONIST,ROR_ANTAGONIST,SELECTINS_UP,SULT_UP,TGFA_UP,TGFB_AGONIST,TGFB_ANTAGONIST,THBD_UP,THRA_ANTAGONIST,THRSP_DN,TP53,TRANSPORTER_DOWN,TR_ANTAGONIST,ZEBRAFISH,CSS,CLogP,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatom,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount
51481-61-9,-0.29465784178016274,-0.09759000729485327,-0.3303750668188062,-0.1899382370752716,-0.3241289230621388,-0.40294534250737823,-0.22503765213585453,-0.13752148957143598,0.0,-0.15278396203474778,-0.4304954219283161,-0.29618300061567526,-0.3344968040028363,-0.5394066785441188,-0.22852287105412422,-0.566007915709101,-0.1867284217433178,-0.4438393751060786,-0.4732291565895172,0.0,-0.29594181474034403,-0.36857123156034716,-0.5566191025445882,-0.40880732315166374,-0.29948809401575355,-0.2266147467278157,-0.2735428283939961,-0.13143238630149706,-0.3152338718374555,-0.41922021242231405,-0.24169814014357946,-0.26836721991049906,-0.30376783630323345,-0.3312632993050702,1.8254497101678868,-0.4974363749420205,-0.35471989479544813,-0.36850887784420966,-0.46660002245302024,0.0,0.0,-0.12247024966696313,-0.11050382706325526,-0.4742423350272984,-0.2157733453500983,-0.32074373728990563,-0.28103941090594964,-0.05516579311813268,-0.2772150382672619,-0.5456156129794405,-0.38995372436518944,-0.18981854680100904,-1.3487362404375267,0.47153219650838774,-0.2839579656735516,0.8876842092522678,0.6947924448335798,-0.39728736124597414,-0.4994103076141394,-0.6189103617737716,-1.3959783273687176,1.1062441971717747,-0.4893676642363189,0.2904989483957102,1.020009732364591,0.597476329508701,0.44424327723330137,-0.33204455008545974,-0.2989406377779756,-0.43737401684069543,-0.8194384895272587
111406-87-2,-0.29465784178016274,-0.09759000729485327,-0.3303750668188062,-0.1899382370752716,-0.5262328518615806,-0.40294534250737823,-0.22503765213585453,-0.13752148957143598,0.0,-0.15278396203474778,-0.5025847061194234,-0.29618300061567526,-0.3344968040028363,-0.3520942834966788,-0.22852287105412422,-0.566007915709101,-0.1867284217433178,-0.4438393751060786,-0.3660447776734982,0.0,-0.29594181474034403,-0.36857123156034716,-0.5566191025445882,-0.40880732315166374,-0.29948809401575355,-0.2266147467278157,-0.2735428283939961,-0.13143238630149706,-0.3152338718374555,-0.41922021242231405,-0.24169814014357946,-0.26836721991049906,-0.30376783630323345,-0.3312632993050702,-0.5002434339765213,-0.25978788471732617,-0.35471989479544813,-0.36850887784420966,-0.46660002245302024,0.0,0.0,-0.12247024966696313,-0.11050382706325526,-0.4742423350272984,-0.2157733453500983,-0.32074373728990563,-0.28103941090594964,-0.1201388172614858,-0.2772150382672619,-0.5456156129794405,-0.38995372436518944,-0.1755286668013783,0.14743296247780246,-0.637903909668988,-0.39421270692408805,0.8876842092522678,-0.04912673852358635,-0.39728736124597414,-0.4994103076141394,-0.6189103617737716,-0.1730551645498411,1.1062441971717747,0.5277494418234812,-0.14939945917493663,1.020009732364591,-0.07270875967566214,-0.44424327723330137,-0.33204455008545974,-0.2989406377779756,-0.43737401684069543,-0.15638139113115626
103628-46-2,-0.29465784178016274,-0.09759000729485327,-0.3303750668188062,-0.1899382370752716,-0.5262328518615806,-0.40294534250737823,-0.22503765213585453,-0.13752148957143598,0.0,-0.15278396203474778,-0.4304954219283161,-0.29618300061567526,-0.3344968040028363,-0.5862347773059788,-0.22852287105412422,-0.566007915709101,-0.1867284217433178,-0.36916163790760936,-0.4732291565895172,0.0,-0.29594181474034403,-0.36857123156034716,-0.5566191025445882,-0.40880732315166374,-0.29948809401575355,-0.2266147467278157,-0.2735428283939961,-0.13143238630149706,-0.3152338718374555,-0.41922021242231405,-0.24169814014357946,-0.26836721991049906,-0.30376783630323345,-0.3312632993050702,-0.5002434339765213,-0.4974363749420205,1.4357710256123881,-0.36850887784420966,-0.46660002245302024,0.0,0.0,-0.12247024966696313,-0.11050382706325526,-0.4742423350272984,-0.2157733453500983,-0.32074373728990563,-0.28103941090594964,-0.2500848892684456,-0.2772150382672619,-0.5456156129794405,-0.38995372436518944,-0.18928626900176485,-0.9238706062270274,0.22247511144816043,0.046806258078057834,0.2995934206226404,0.3228328531549967,-0.39728736124597414,-0.4994103076141394,-0.6189103617737716,-0.1730551645498411,1.1062441971717747,0.5277494418234812,-0.14939945917493663,0.3877229976824468,0.2623837849165194,0.7404054620555023,-0.33204455008545974,-0.2989406377779756,-0.43737401684069543,-0.15638139113115626
28911-01-5,-0.29465784178016274,-0.09759000729485327,-0.3303750668188062,-0.1899382370752716,-0.3818729164863598,-0.40294534250737823,-0.22503765213585453,-0.13752148957143598,0.0,-0.15278396203474778,-0.4304954219283161,-0.29618300061567526,-0.3344968040028363,-0.5862347773059788,-0.22852287105412422,-0.3504305510922096,-0.1867284217433178,-0.17002100278185986,-0.4732291565895172,0.0,-0.29594181474034403,-0.36857123156034716,-0.5566191025445882,0.05858103982174638,-0.29948809401575355,-0.2266147467278157,-0.2735428283939961,-0.13143238630149706,-0.3152338718374555,-0.20736159361011636,-0.08736077324107855,-0.26836721991049906,-0.30376783630323345,-0.3312632993050702,-0.5002434339765213,-0.4974363749420205,-0.35471989479544813,-0.36850887784420966,-0.46660002245302024,0.0,0.0,-0.12247024966696313,-0.11050382706325526,-0.4742423350272984,-0.2157733453500983,-0.32074373728990563,-0.28103941090594964,-0.2500848892684456,-0.2772150382672619,-0.375297235039527,-0.38995372436518944,-0.18285359064418846,0.785641253159436,-0.8616557294022403,0.37757048182966724,-0.8765881566366143,-0.04912673852358635,-0.39728736124597414,0.6514047490619209,0.2011458675764757,1.0498679982690353,1.1062441971717747,1.5448665478832813,0.2904989483957102,-0.8768504716818413,0.2623837849165194,-0.7404054620555023,-0.33204455008545974,-0.2989406377779756,-0.43737401684069543,1.1697328056610485
57-43-2,-0.29465784178016274,-0.09759000729485327,-0.20342617637876925,-0.1899382370752716,-0.5262328518615806,-0.40294534250737823,-0.22503765213585453,-0.13752148957143598,0.0,-0.15278396203474778,-0.5025847061194234,-0.29618300061567526,-0.3344968040028363,-0.4925785797822589,-0.22852287105412422,-0.566007915709101,-0.1867284217433178,-0.26959132423948196,-0.4732291565895172,0.0,-0.29594181474034403,-0.36857123156034716,-0.5566191025445882,-0.40880732315166374,-0.29948809401575355,-0.2266147467278157,-0.2735428283939961,-0.13143238630149706,-0.3152338718374555,-0.41922021242231405,-0.24169814014357946,-0.26836721991049906,-0.30376783630323345,-0.3312632993050702,-0.5002434339765213,-0.4974363749420205,3.363992073654798,-0.36850887784420966,-0.46660002245302024,0.0,0.0,-0.12247024966696313,-0.11050382706325526,-0.4742423350272984,-0.2157733453500983,-0.32074373728990563,-0.28103941090594964,-0.2500848892684456,-0.2772150382672619,-0.5456156129794405,-0.38995372436518944,-0.18128047604747066,-0.017318401923773537,1.2639865580636562,-0.39421270692408805,0.2995934206226404,0.3228328531549967,-0.39728736124597414,0.6514047490619209,0.2011458675764757,-1.3959783273687176,-0.5689255871169125,-1.5064847702961188,-1.0291962743162304,0.3877229976824468,-0.07270875967566214,0.14808109241110046,-0.33204455008545974,-0.2989406377779756,-0.43737401684069543,-0.8194384895272587
125-84-8,-0.29465784178016274,-0.09759000729485327,-0.3303750668188062,-0.1899382370752716,-0.5262328518615806,-0.40294534250737823,-0.22503765213585453,-0.13752148957143598,0.0,-0.15278396203474778,-0.5025847061194234,-0.29618300061567526,-0.3344968040028363,-0.4925785797822589,-0.22852287105412422,-0.566007915709101,-0.1867284217433178,-0.4438393751060786,-0.33031663975538866,0.0,-0.29594181474034403,-0.36857123156034716,-0.5566191025445882,-0.40880732315166374,-0.29948809401575355,-0.2266147467278157,-0.2735428283939961,-0.13143238630149706,-0.3152338718374555,-0.41922021242231405,-0.24169814014357946,-0.26836721991049906,-0.30376783630323345,-0.3312632993050702,-0.5002434339765213,-0.4974363749420205,-0.35471989479544813,-0.36850887784420966,-0.46660002245302024,0.0,0.0,-0.12247024966696313,-0.11050382706325526,-0.4742423350272984,-0.2157733453500983,-0.32074373728990563,-0.28103941090594964,-0.2500848892684456,-0.2772150382672619,-0.5456156129794405,-0.38995372436518944,-0.18646721973997474,-0.41183649083352303,0.06920921294955922,-0.2839579656735516,0.8876842092522678,-0.04912673852358635,-0.39728736124597414,0.6514047490619209,0.2011458675764757,-0.1730551645498411,-0.5689255871169125,-0.4893676642363189,-0.5892978667455835,0.3877229976824468,-0.4078013042678437,-0.44424327723330137,-0.33204455008545974,-0.2989406377779756,-0.43737401684069543,-0.15638139113115626
51-06-9,-0.29465784178016274,-0.09759000729485327,-0.3303750668188062,-0.1899382370752716,-0.5262328518615806,-0.40294534250737823,-0.22503765213585453,-0.13752148957143598,0.0,-0.15278396203474778,-0.5025847061194234,-0.29618300061567526,-0.3344968040028363,-0.4457504810203988,-0.22852287105412422,-0.566007915709101,-0.1867284217433178,-0.3442690536484565,-0.4732291565895172,0.0,-0.29594181474034403,-0.36857123156034716,-0.5566191025445882,-0.40880732315166374,-0.29948809401575355,-0.2266147467278157,-0.2735428283939961,-0.13143238630149706,-0.3152338718374555,-0.41922021242231405,-0.24169814014357946,-0.26836721991049906,-0.30376783630323345,-0.3312632993050702,-0.5002434339765213,-0.4974363749420205,3.363992073654798,-0.36850887784420966,-0.46660002245302024,0.0,0.0,-0.12247024966696313,-0.11050382706325526,-0.4742423350272984,-0.2157733453500983,-0.32074373728990563,-0.28103941090594964,-0.2500848892684456,-0.2772150382672619,-0.5456156129794405,-0.38995372436518944,-0.1881027705923051,-0.9126003379528612,0.33742453532211164,-0.2839579656735516,0.8876842092522678,-0.04912673852358635,-0.39728736124597414,-0.4994103076141394,-0.6189103617737716,-0.1730551645498411,-0.5689255871169125,-0.4893676642363189,-0.14939945917493663,0.3877229976824468,-0.4078013042678437,0.7404054620555023,-0.33204455008545974,-0.2989406377779756,-0.43737401684069543,-0.8194384895272587
22071-15-4,-0.29465784178016274,-0.09759000729485327,-0.3303750668188062,-0.1899382370752716,-0.5262328518615806,-0.40294534250737823,-0.22503765213585453,-0.13752148957143598,0.0,-0.15278396203474778,-0.5025847061194234,-0.29618300061567526,-0.3344968040028363,-0.4925785797822589,-0.22852287105412422,-0.566007915709101,-0.1867284217433178,-0.4438393751060786,-0.4732291565895172,0.0,-0.29594181474034403,-0.36857123156034716,-0.5566191025445882,-0.40880732315166374,-0.29948809401575355,-0.2266147467278157,-0.2735428283939961,-0.13143238630149706,-0.3152338718374555,-0.41922021242231405,-0.24169814014357946,-0.26836721991049906,-0.30376783630323345,-0.3312632993050702,-0.5002434339765213,-0.4974363749420205,-0.35471989479544813,-0.36850887784420966,-0.46660002245302024,0.0,0.0,-0.12247024966696313,-0.11050382706325526,-0.4742423350272984,-0.2157733453500983,-0.32074373728990563,-0.28103941090594964,-0.2500848892684456,-0.2772150382672619,-0.5456156129794405,-0.38995372436518944,-0.09162340821147473,0.12361865081723396,-0.8360175000578052,-0.06344848317247863,-0.28849736800698694,-0.4210863302021694,-0.39728736124597414,-0.4994103076141394,-0.6189103617737716,1.0498679982690353,-0.5689255871169125,0.5277494418234812,-0.5892978667455835,-0.24456373699969725,-0.7428938488600253,0.14808109241110046,-0.33204455008545974,-0.2989406377779756,-0.43737401684069543,-0.15638139113115626
10238-21-8,-0.29465784178016274,-0.09759000729485327,-0.3303750668188062,-0.1899382370752716,-0.4396168823761056,-0.40294534250737823,-0.22503765213585453,-0.13752148957143598,0.0,-0.15278396203474778,-0.5025847061194234,-0.29618300061567526,-0.3344968040028363,-0.3052661847348188,-0.22852287105412422,-0.49967641411923214,-0.1867284217433178,-0.14512842631220166,-0.22313224922659983,0.0,-0.29594181474034403,-0.36857123156034716,-0.5566191025445882,0.6261239734740014,-0.29948809401575355,-0.2266147467278157,-0.2735428283939961,-0.13143238630149706,-0.3152338718374555,-0.41922021242231405,-0.08736077324107855,-0.26836721991049906,-0.30376783630323345,-0.3312632993050702,1.6704036055645106,-0.2894939496265653,-0.35471989479544813,-0.36850887784420966,-0.46660002245302024,0.0,0.0,-0.12247024966696313,-0.11050382706325526,0.1416190782712294,-0.2157733453500983,-0.32074373728990563,-0.28103941090594964,-0.2500848892684456,-0.2772150382672619,-0.42395962522107816,-0.38995372436518944,-0.1771645664596059,0.895632027597628,0.09253228446021593,1.480117894335032,0.8876842092522678,1.438711628190746,0.8413144120502983,-0.4994103076141394,0.2011458675764757,1.0498679982690353,-0.5689255871169125,0.5277494418234812,0.7303973559663571,1.020009732364591,1.6027539632852457,1.332729831699904,1.4277915653674769,-0.2989406377779756,0.7216671277871474,0.5066757072649462
64-17-5,-0.29465784178016274,-0.09759000729485327,-0.3303750668188062,-0.1899382370752716,-0.5262328518615806,-0.40294534250737823,-0.22503765213585453,-0.13752148957143598,0.0,-0.15278396203474778,-0.5025847061194234,-0.29618300061567526,-0.3344968040028363,-0.4457504810203988,-0.22852287105412422,-0.566007915709101,-0.1867284217433178,-0.4438393751060786,-0.4732291565895172,0.0,-0.29594181474034403,-0.36857123156034716,-0.5566191025445882,-0.40880732315166374,-0.29948809401575355,-0.2266147467278157,-0.2735428283939961,-0.13143238630149706,-0.3152338718374555,-0.41922021242231405,-0.24169814014357946,-0.26836721991049906,-0.30376783630323345,-0.3312632993050702,-0.5002434339765213,-0.4974363749420205,-0.35471989479544813,-0.36850887784420966,-0.46660002245302024,0.0,0.0,-0.12247024966696313,-0.11050382706325526,-0.4742423350272984,-0.2157733453500983,-0.32074373728990563,-0.28103941090594964,-0.1851118532649657,-0.2772150382672619,-0.5456156129794405,-0.38995372436518944,-0.18936161107557659,-1.7002277322380888,2.2149317919299785,-1.8275243431810622,-0.28849736800698694,-1.1650055135593356,-0.39728736124597414,-0.4994103076141394,-0.6189103617737716,-1.3959783273687176,-0.5689255871169125,-1.5064847702961188,-1.0291962743162304,-0.24456373699969725,-1.4130789380443884,-1.0365676468777032,-0.33204455008545974,-0.2989406377779756,-0.43737401684069543,-1.4824955879233612
