"estimates","cas"
7.733,"100-02-7"
43.48,"100-41-4"
9.667,"100-42-5"
36.62,"100-97-0"
28.08,"1007-28-9"
881.5,"100784-20-1"
20930,"10081-67-1"
78.4,"101-05-3"
824.5,"101-10-0"
4.995,"101-21-3"
3.651,"101-42-8"
11.2,"101-54-2"
362.8,"101-61-1"
5.872,"101-77-9"
28.45,"101-80-4"
126.3,"101-86-0"
2.467,"10161-33-8"
113.3,"102-06-7"
14.91,"102-27-2"
37.86,"10238-21-8"
9396,"1024-57-3"
746.9,"10262-69-8"
9.54,"103-23-1"
0.09009,"103-24-2"
3.211,"103-69-5"
6.995,"103-90-2"
38.61,"103361-09-7"
3.108,"103628-46-2"
9.024,"104-13-2"
28.45,"104-66-5"
23.8,"104-67-6"
31.57,"104098-48-8"
14.66,"104206-82-8"
24050,"10453-86-8"
506.2,"104987-11-3"
0.2831,"105-13-5"
15.67,"105-60-2"
0.4121,"105-87-3"
54.27,"105-99-7"
22570,"10540-29-1"
0.5073,"105512-06-9"
8.168,"105624-86-0"
836,"106-25-2"
1.913,"106-44-5"
15.35,"106-46-7"
42.51,"106-47-8"
0.1056,"106-65-0"
1.321,"10605-21-7"
47.37,"106266-06-2"
3.099,"107-06-2"
2.36,"107-13-1"
5.454,"1071-93-8"
83.12,"107534-96-3"
1.808,"108-44-1"
2.548,"108-46-3"
14.47,"108-88-3"
0.4506,"108-90-7"
7.265,"108-95-2"
7.965,"109-43-3"
0.006586,"109-99-9"
24.08,"110-00-9"
19.25,"110-25-8"
12.8,"110-26-9"
303.2,"110-54-3"
835.1,"110235-47-7"
4.602,"110488-70-5"
0.06102,"111-21-7"
4.748,"111-40-0"
1463,"111-65-9"
5.391,"111-76-2"
6.852,"111-82-0"
1173,"111-84-2"
245.2,"1114-71-2"
42.55,"111406-87-2"
30.02,"111812-58-9"
0.7879,"1119-40-0"
5.828,"111988-49-9"
16.62,"112-00-5"
29.36,"112-18-5"
10.76,"112-49-2"
19.12,"112-50-5"
727.7,"112281-77-3"
40.5,"112410-23-8"
36.26,"112529-15-4"
3202,"113-48-4"
179,"113-59-7"
10.94,"113136-77-9"
82.01,"1134-23-2"
1.271,"113776-20-8"
49.45,"114-07-8"
5.79,"114-26-1"
5.377,"1143-72-2"
14.35,"114311-32-9"
12.9,"114369-43-6"
1623,"115-29-7"
234.4,"115-32-2"
97.98,"115-86-6"
3.646,"115-96-8"
7.039,"115256-11-6"
23440,"1154-59-2"
70.49,"1156-19-0"
22.34,"116-06-3"
23020,"1166-52-5"
290,"116714-46-6"
10.2,"117-39-5"
8.615,"117-79-3"
21760,"117-81-7"
21180,"117-84-0"
6741,"1176-74-5"
22.63,"117718-60-2"
56.22,"118-58-1"
509.8,"118134-30-8"
0.1829,"119-36-8"
23.87,"119-47-1"
49.38,"119-61-9"
28.74,"119-90-4"
104.6,"119-93-7"
143.8,"119168-77-3"
356.9,"1194-65-6"
10.57,"119446-68-3"
4.218,"119515-38-7"
166.3,"120-12-7"
2006,"120-36-5"
3.413,"120-47-8"
2.664,"120-71-8"
23.29,"120-80-9"
2164,"120068-37-3"
9.357,"120116-88-3"
59.63,"121-00-6"
142.2,"121-14-2"
0.1632,"121-33-5"
0.1465,"121-75-5"
5.459,"121-79-9"
46.21,"1214-39-7"
127,"121552-61-2"
239.7,"122-14-5"
6.157,"122-34-9"
3.089,"122-37-2"
61.69,"122-39-4"
46.86,"122-99-6"
0.9102,"122836-35-5"
12.86,"122931-48-0"
8.349,"123-91-1"
34.89,"123122-55-4"
1.932,"123312-89-0"
167.7,"123343-16-8"
255.1,"124-07-2"
3613,"124-18-5"
3.11,"124-94-7"
6.433,"124378-77-4"
6911,"124495-18-7"
301,"125-13-3"
373,"125-31-5"
11.19,"125-84-8"
4.211,"125225-28-7"
313.7,"125401-92-5"
26.87,"126-00-1"
2.098,"126-72-7"
1557,"126-73-8"
908.3,"1260-17-9"
11.64,"126535-15-7"
9.046,"126833-17-8"
466.7,"127-18-4"
217.9,"127-51-5"
78.31,"127308-82-1"
14800,"128-39-2"
487.9,"129-00-0"
25680,"129-73-7"
22.1,"129299-90-7"
0.005253,"129453-61-8"
3.803,"129630-19-9"
13.4,"13071-79-9"
20300,"13080-86-9"
29.64,"131-11-3"
201.1,"131-17-9"
3.556,"131-18-0"
12.22,"131-55-5"
20.06,"131-56-6"
41.18,"131-57-7"
79.82,"131-70-4"
51.46,"131341-86-1"
30.99,"131807-57-3"
5.759,"131860-33-8"
26.29,"13194-48-4"
27.03,"131983-72-7"
381,"132-64-9"
66.48,"13292-46-1"
3065,"13301-61-6"
18.32,"13311-84-7"
160.6,"133855-98-8"
0.2276,"134-20-3"
8.675,"134-62-3"
5.411,"134-84-9"
22.33,"134308-13-7"
1552,"134523-00-5"
1579,"135062-02-1"
0.573,"135158-54-2"
5.1,"13523-86-9"
25.07,"135410-20-7"
0.2668,"136-45-8"
0.3549,"136-60-7"
5.575,"13655-52-2"
158.2,"13674-87-8"
93.02,"13680-35-8"
69.86,"137-26-8"
6.503,"137-58-6"
4.263,"138261-41-3"
26.1,"138402-11-6"
33.04,"139-40-2"
14.11,"139290-65-6"
622.6,"139340-56-0"
92.74,"140-66-9"
14.35,"141-66-2"
30.35,"141112-29-0"
1.145,"141517-21-7"
884.9,"14233-37-5"
6.524,"142459-58-3"
23.02,"143-74-8"
13.57,"1445-75-6"
141.1,"144550-36-7"
25,"144651-06-9"
7.933,"145-73-3"
331.3,"145701-21-9"
86.67,"145742-28-5"
15.66,"147-24-0"
29.33,"1470-79-7"
79.05,"147536-97-8"
6.973,"1478-61-1"
2.481,"148-24-3"
117.8,"148-79-8"
17.32,"149-30-4"
36.72,"149-57-5"
3.335,"149877-41-8"
80.02,"149979-41-9"
11.27,"150-13-0"
7.913,"150-68-5"
309.7,"150408-73-4"
1507,"15086-94-9"
4.058,"151319-34-5"
164.7,"15299-99-7"
52.82,"15307-79-6"
8.251,"15310-01-7"
68.41,"153233-91-1"
12.72,"153719-23-4"
4.268,"154-42-7"
42.64,"155213-67-5"
0.159,"156-10-5"
2.125,"156-43-4"
1522,"156052-68-5"
1.411,"15619-48-4"
24.79,"1563-38-8"
26.34,"1563-66-2"
2.508,"15676-16-1"
143.3,"15687-27-1"
8.853,"1582-09-8"
