casn,Liver,Hepatobiliary,Hepatocellular,Cluster
486-56-6,,,,444
957-68-6,,,,5
89785-84-2,1.0,1.0,1.0,10
94-20-2,1.0,1.0,1.0,188
25162-00-9,1.0,0.0,1.0,444
54-11-5,1.0,0.0,1.0,444
65-30-5,1.0,0.0,1.0,444
494-52-0,,,,444
62-33-9,,,,295
15708-41-5,,,,295
60-00-4,1.0,0.0,1.0,295
94-60-0,,,,65
3399-22-2,,,,65
1632-73-1,,,,54
2217-02-9,,,,54
464-43-7,,,,54
464-45-9,,,,54
124-76-5,,,,54
13491-79-7,,,,54
76-44-8,1.0,,,35
1024-57-3,,,,35
39765-80-5,,,,35
3734-48-3,,,,35
5103-71-9,,,,35
57-74-9,,,,35
5103-74-2,,,,35
60-80-0,0.0,0.0,0.0,239
346-18-9,1.0,1.0,0.0,119
83-07-8,,,,239
5588-16-9,1.0,1.0,0.0,119
339-43-5,1.0,,,188
185517-21-9,,,,65
117-96-4,1.0,1.0,1.0,152
50978-11-5,1.0,1.0,1.0,152
737-31-5,1.0,1.0,1.0,152
1225-20-3,1.0,1.0,1.0,173
440-58-4,1.0,1.0,1.0,152
56718-70-8,,,,181
64-77-7,1.0,,,188
465-73-6,1.0,,,35
309-00-2,1.0,,,35
72-20-8,,,,35
60-57-1,,,,35
41136-22-5,,,,5
68401-82-1,,,,5
58-15-1,1.0,0.0,1.0,239
5907-38-0,1.0,0.0,1.0,239
68-89-3,1.0,0.0,1.0,239
742-20-1,1.0,1.0,0.0,119
1027-87-8,,,,188
124832-27-5,1.0,1.0,1.0,321
86393-33-1,,,,19
64808-48-6,,,,296
530-78-9,1.0,,,296
6385-02-0,1.0,1.0,1.0,296
13710-19-5,1.0,0.0,1.0,296
898128-45-5,,,,296
91832-40-5,,,,5
1824-50-6,1.0,1.0,0.0,119
25953-19-9,1.0,1.0,1.0,5
2259-96-3,1.0,1.0,0.0,119
3615-24-5,,,,239
664-95-9,,,,188
69388-79-0,,,,10
29122-68-7,1.0,1.0,1.0,181
56715-13-0,1.0,1.0,1.0,181
175865-59-5,1.0,1.0,1.0,321
67-43-6,1.0,1.0,1.0,295
140-01-2,1.0,1.0,1.0,295
33818-15-4,,,,196
846-49-1,1.0,1.0,1.0,423
83-12-5,1.0,0.0,1.0,415
1088-11-5,,,,423
604-75-1,1.0,1.0,1.0,423
963-39-3,,,,423
